84,50,10414.233857,21,21,0
91,57,0.000717,21,21,0
101,67,0.079137,21,21,0
87,53,0.076987,21,21,0
107,73,0.034224,21,21,0
104,70,0.001665,21,21,0
83,49,0.084676,21,21,0
118,84,0.002722,21,21,0
117,83,3.5e-05,21,21,0
105,71,0.091736,21,21,0
115,81,0.009887,21,21,0
114,80,0.076415,21,21,0
98,64,5.5e-05,21,21,0
109,75,0.085012,21,21,0
104,70,0.051853,21,21,0
97,63,0.024946,21,21,0
108,74,0.001087,21,21,0
118,84,0.063763,21,21,0
97,63,0.063624,21,21,0
82,48,3.4e-05,21,21,0
94,60,0.09733,21,21,0
101,67,0.025548,21,21,0
101,67,0.048083,21,21,0
82,48,0.000137,21,21,0
98,64,0.001708,21,21,0
103,69,0.097674,21,21,0
83,49,0.082543,21,21,0
96,62,0.028867,21,21,0
108,74,0.033081,21,21,0
86,52,0.045873,21,21,0
92,58,0.0406,21,21,0
116,82,0.060853,21,21,0
99,65,0.081992,21,21,0
84,50,0.061347,21,21,0
101,67,0.045153,21,21,0
121,87,0.072352,21,21,0
121,87,0.094348,21,21,0
106,72,0.020825,21,21,0
108,74,0.040487,21,21,0
102,68,0.041793,21,21,0
115,81,0.035298,21,21,0
112,78,0.091395,21,21,0
82,48,0.069783,21,21,0
119,85,0.090264,21,21,0
119,85,3.5e-05,21,21,0
121,87,0.018131,21,21,0
92,58,0.065614,21,21,0
115,81,3.5e-05,21,21,0
104,70,0.099465,21,21,0
106,72,0.032835,21,21,0
113,79,0.029405,21,21,0
99,65,0.063802,21,21,0
113,79,0.014539,21,21,0
110,76,0.067462,21,21,0
83,49,0.026304,21,21,0
101,67,3.6e-05,21,21,0
106,72,5.3e-05,21,21,0
100,66,0.013466,21,21,0
89,55,0.041451,21,21,0
122,88,0.021482,21,21,0
98,64,0.075004,21,21,0
115,81,0.049822,21,21,0
93,59,0.083759,21,21,0
110,76,0.000895,21,21,0
117,83,6.5e-05,21,21,0
119,85,0.051765,21,21,0
122,88,0.033345,21,21,0
82,48,5e-05,21,21,0
99,65,0.037489,21,21,0
118,84,4e-05,21,21,0
114,80,0.066045,21,21,0
120,86,0.015519,21,21,0
109,75,0.039362,21,21,0
104,70,0.055074,21,21,0
114,80,0.085108,21,21,0
98,64,0.049471,21,21,0
98,64,0.000316,21,21,0
96,62,0.023884,21,21,0
122,88,0.050765,21,21,0
88,54,3.7e-05,21,21,0
102,68,0.041527,21,21,0
105,71,0.05056,21,21,0
96,62,0.001211,21,21,0
85,51,0.033849,21,21,0
112,78,0.070811,21,21,0
